Most common words,Absolute frequency,Relative frequency
trump,24.0,0.04597701149425287
hi,9.0,0.017241379310344827
elect,7.0,0.013409961685823755
presid,6.0,0.011494252873563218
state,6.0,0.011494252873563218
wa,6.0,0.011494252873563218
unit,5.0,0.009578544061302681
school,5.0,0.009578544061302681
mani,5.0,0.009578544061302681
american,4.0,0.007662835249042145
presidenti,4.0,0.007662835249042145
militari,4.0,0.007662835249042145
univers,3.0,0.005747126436781609
estat,3.0,0.005747126436781609
busi,3.0,0.005747126436781609
legal,3.0,0.005747126436781609
action,3.0,0.005747126436781609
polit,3.0,0.005747126436781609
republican,3.0,0.005747126436781609
servic,3.0,0.005747126436781609
polici,3.0,0.005747126436781609
dure,3.0,0.005747126436781609
offici,3.0,0.005747126436781609
obstruct,3.0,0.005747126436781609
januari,3.0,0.005747126436781609
impeach,3.0,0.005747126436781609
hous,3.0,0.005747126436781609
board,3.0,0.005747126436781609
colleg,3.0,0.005747126436781609
donald,2.0,0.0038314176245210726
john,2.0,0.0038314176245210726
born,2.0,0.0038314176245210726
june,2.0,0.0038314176245210726
serv,2.0,0.0038314176245210726
graduat,2.0,0.0038314176245210726
wharton,2.0,0.0038314176245210726
pennsylvania,2.0,0.0038314176245210726
degre,2.0,0.0038314176245210726
becam,2.0,0.0038314176245210726
real,2.0,0.0038314176245210726
build,2.0,0.0038314176245210726
later,2.0,0.0038314176245210726
involv,2.0,0.0038314176245210726
feder,2.0,0.0038314176245210726
includ,2.0,0.0038314176245210726
nomine,2.0,0.0038314176245210726
vote,2.0,0.0038314176245210726
us,2.0,0.0038314176245210726
govern,2.0,0.0038314176245210726
investig,2.0,0.0038314176245210726
robert,2.0,0.0038314176245210726
promot,2.0,0.0038314176245210726
conspiraci,2.0,0.0038314176245210726
made,2.0,0.0038314176245210726
fals,2.0,0.0038314176245210726
charg,2.0,0.0038314176245210726
offic,2.0,0.0038314176245210726
environment,2.0,0.0038314176245210726
attempt,2.0,0.0038314176245210726
tax,2.0,0.0038314176245210726
cut,2.0,0.0038314176245210726
act,2.0,0.0038314176245210726
individu,2.0,0.0038314176245210726
health,2.0,0.0038314176245210726
three,2.0,0.0038314176245210726
trade,2.0,0.0038314176245210726
war,2.0,0.0038314176245210726
agreement,2.0,0.0038314176245210726
time,2.0,0.0038314176245210726
recommend,2.0,0.0038314176245210726
biden,2.0,0.0038314176245210726
elector,2.0,0.0038314176245210726
result,2.0,0.0038314176245210726
pressur,2.0,0.0038314176245210726
decemb,2.0,0.0038314176245210726
acquit,2.0,0.0038314176245210726
senat,2.0,0.0038314176245210726
februari,2.0,0.0038314176245210726
incit,2.0,0.0038314176245210726
insurrect,2.0,0.0038314176245210726
jamaica,2.0,0.0038314176245210726
queen,2.0,0.0038314176245210726
new,2.0,0.0038314176245210726
york,2.0,0.0038314176245210726
fred,2.0,0.0038314176245210726
immigr,2.0,0.0038314176245210726
privat,2.0,0.0038314176245210726
enrol,2.0,0.0038314176245210726
draft,2.0,0.0038314176245210726
defer,2.0,0.0038314176245210726
medic,2.0,0.0038314176245210726
classifi,2.0,0.0038314176245210726
politician,1.0,0.0019157088122605363
media,1.0,0.0019157088122605363
person,1.0,0.0019157088122605363
businessman,1.0,0.0019157088122605363
bachelor,1.0,0.0019157088122605363
father,1.0,0.0019157088122605363
renam,1.0,0.0019157088122605363
organ,1.0,0.0019157088122605363
expand,1.0,0.0019157088122605363
compani,1.0,0.0019157088122605363
oper,1.0,0.0019157088122605363
renov,1.0,0.0019157088122605363
skyscrap,1.0,0.0019157088122605363
hotel,1.0,0.0019157088122605363
casino,1.0,0.0019157088122605363
golf,1.0,0.0019157088122605363
cours,1.0,0.0019157088122605363
start,1.0,0.0019157088122605363
side,1.0,0.0019157088122605363
ventur,1.0,0.0019157088122605363
mostli,1.0,0.0019157088122605363
licens,1.0,0.0019157088122605363
name,1.0,0.0019157088122605363
coproduc,1.0,0.0019157088122605363
host,1.0,0.0019157088122605363
realiti,1.0,0.0019157088122605363
televis,1.0,0.0019157088122605363
seri,1.0,0.0019157088122605363
apprentic,1.0,0.0019157088122605363
six,1.0,0.0019157088122605363
bankruptci,1.0,0.0019157088122605363
posit,1.0,0.0019157088122605363
describ,1.0,0.0019157088122605363
populist,1.0,0.0019157088122605363
protectionist,1.0,0.0019157088122605363
isolationist,1.0,0.0019157088122605363
nationalist,1.0,0.0019157088122605363
democrat,1.0,0.0019157088122605363
hillari,1.0,0.0019157088122605363
clinton,1.0,0.0019157088122605363
despit,1.0,0.0019157088122605363
lose,1.0,0.0019157088122605363
nation,1.0,0.0019157088122605363
popular,1.0,0.0019157088122605363
first,1.0,0.0019157088122605363
prior,1.0,0.0019157088122605363
spark,1.0,0.0019157088122605363
numer,1.0,0.0019157088122605363
protest,1.0,0.0019157088122605363
special,1.0,0.0019157088122605363
counsel,1.0,0.0019157088122605363
led,1.0,0.0019157088122605363
mueller,1.0,0.0019157088122605363
establish,1.0,0.0019157088122605363
russia,1.0,0.0019157088122605363
interf,1.0,0.0019157088122605363
favor,1.0,0.0019157088122605363
theori,1.0,0.0019157088122605363
mislead,1.0,0.0019157088122605363
statement,1.0,0.0019157088122605363
campaign,1.0,0.0019157088122605363
unpreced,1.0,0.0019157088122605363
comment,1.0,0.0019157088122605363
character,1.0,0.0019157088122605363
racial,1.0,0.0019157088122605363
racist,1.0,0.0019157088122605363
misogynist,1.0,0.0019157088122605363
shortli,1.0,0.0019157088122605363
took,1.0,0.0019157088122605363
order,1.0,0.0019157088122605363
travel,1.0,0.0019157088122605363
ban,1.0,0.0019157088122605363
citizen,1.0,0.0019157088122605363
sever,1.0,0.0019157088122605363
muslimmajor,1.0,0.0019157088122605363
countri,1.0,0.0019157088122605363
divert,1.0,0.0019157088122605363
fund,1.0,0.0019157088122605363
toward,1.0,0.0019157088122605363
wall,1.0,0.0019157088122605363
mexico,1.0,0.0019157088122605363
border,1.0,0.0019157088122605363
implement,1.0,0.0019157088122605363
famili,1.0,0.0019157088122605363
separ,1.0,0.0019157088122605363
apprehend,1.0,0.0019157088122605363
migrant,1.0,0.0019157088122605363
roll,1.0,0.0019157088122605363
back,1.0,0.0019157088122605363
regul,1.0,0.0019157088122605363
aggress,1.0,0.0019157088122605363
weaken,1.0,0.0019157088122605363
protect,1.0,0.0019157088122605363
sign,1.0,0.0019157088122605363
job,1.0,0.0019157088122605363
rescind,1.0,0.0019157088122605363
insur,1.0,0.0019157088122605363
mandat,1.0,0.0019157088122605363
penalti,1.0,0.0019157088122605363
afford,1.0,0.0019157088122605363
care,1.0,0.0019157088122605363
appoint,1.0,0.0019157088122605363
appel,1.0,0.0019157088122605363
judg,1.0,0.0019157088122605363
suprem,1.0,0.0019157088122605363
court,1.0,0.0019157088122605363
justic,1.0,0.0019157088122605363
initi,1.0,0.0019157088122605363
china,1.0,0.0019157088122605363
withdrew,1.0,0.0019157088122605363
propos,1.0,0.0019157088122605363
transpacif,1.0,0.0019157088122605363
partnership,1.0,0.0019157088122605363
pari,1.0,0.0019157088122605363
climat,1.0,0.0019157088122605363
chang,1.0,0.0019157088122605363
iran,1.0,0.0019157088122605363
nuclear,1.0,0.0019157088122605363
deal,1.0,0.0019157088122605363
met,1.0,0.0019157088122605363
north,1.0,0.0019157088122605363
korean,1.0,0.0019157088122605363
leader,1.0,0.0019157088122605363
kim,1.0,0.0019157088122605363
jongun,1.0,0.0019157088122605363
progress,1.0,0.0019157088122605363
denuclear,1.0,0.0019157088122605363
react,1.0,0.0019157088122605363
slowli,1.0,0.0019157088122605363
pandem,1.0,0.0019157088122605363
ignor,1.0,0.0019157088122605363
contradict,1.0,0.0019157088122605363
messag,1.0,0.0019157088122605363
misinform,1.0,0.0019157088122605363
unproven,1.0,0.0019157088122605363
treatment,1.0,0.0019157088122605363
need,1.0,0.0019157088122605363
testingtrump,1.0,0.0019157088122605363
lost,1.0,0.0019157088122605363
joe,1.0,0.0019157088122605363
refus,1.0,0.0019157088122605363
conced,1.0,0.0019157088122605363
defeat,1.0,0.0019157088122605363
claim,1.0,0.0019157088122605363
widespread,1.0,0.0019157088122605363
fraud,1.0,0.0019157088122605363
overturn,1.0,0.0019157088122605363
mount,1.0,0.0019157088122605363
score,1.0,0.0019157088122605363
unsuccess,1.0,0.0019157088122605363
challeng,1.0,0.0019157088122605363
transit,1.0,0.0019157088122605363
urg,1.0,0.0019157088122605363
support,1.0,0.0019157088122605363
march,1.0,0.0019157088122605363
capit,1.0,0.0019157088122605363
attack,1.0,0.0019157088122605363
multipl,1.0,0.0019157088122605363
death,1.0,0.0019157088122605363
interrupt,1.0,0.0019157088122605363
counttrump,1.0,0.0019157088122605363
onli,1.0,0.0019157088122605363
twice,1.0,0.0019157088122605363
tri,1.0,0.0019157088122605363
ukrain,1.0,0.0019157088122605363
repres,1.0,0.0019157088122605363
abus,1.0,0.0019157088122605363
power,1.0,0.0019157088122605363
congress,1.0,0.0019157088122605363
second,1.0,0.0019157088122605363
sinc,1.0,0.0019157088122605363
leav,1.0,0.0019157088122605363
ha,1.0,0.0019157088122605363
remain,1.0,0.0019157088122605363
heavili,1.0,0.0019157088122605363
parti,1.0,0.0019157088122605363
make,1.0,0.0019157088122605363
endors,1.0,0.0019157088122605363
midterm,1.0,0.0019157088122605363
novemb,1.0,0.0019157088122605363
announc,1.0,0.0019157088122605363
candidaci,1.0,0.0019157088122605363
nomin,1.0,0.0019157088122605363
committe,1.0,0.0019157088122605363
crimin,1.0,0.0019157088122605363
hospit,1.0,0.0019157088122605363
borough,1.0,0.0019157088122605363
citi,1.0,0.0019157088122605363
fourth,1.0,0.0019157088122605363
child,1.0,0.0019157088122605363
bronxborn,1.0,0.0019157088122605363
develop,1.0,0.0019157088122605363
whose,1.0,0.0019157088122605363
parent,1.0,0.0019157088122605363
german,1.0,0.0019157088122605363
mari,1.0,0.0019157088122605363
ann,1.0,0.0019157088122605363
macleod,1.0,0.0019157088122605363
scotland,1.0,0.0019157088122605363
grew,1.0,0.0019157088122605363
older,1.0,0.0019157088122605363
sibl,1.0,0.0019157088122605363
maryann,1.0,0.0019157088122605363
jr,1.0,0.0019157088122605363
elizabeth,1.0,0.0019157088122605363
younger,1.0,0.0019157088122605363
brother,1.0,0.0019157088122605363
neighborhood,1.0,0.0019157088122605363
attend,1.0,0.0019157088122605363
kewforest,1.0,0.0019157088122605363
kindergarten,1.0,0.0019157088122605363
seventh,1.0,0.0019157088122605363
grade,1.0,0.0019157088122605363
age,1.0,0.0019157088122605363
academi,1.0,0.0019157088122605363
fordham,1.0,0.0019157088122605363
two,1.0,0.0019157088122605363
year,1.0,0.0019157088122605363
transfer,1.0,0.0019157088122605363
may,1.0,0.0019157088122605363
b,1.0,0.0019157088122605363
econom,1.0,0.0019157088122605363
lawyer,1.0,0.0019157088122605363
michael,1.0,0.0019157088122605363
cohen,1.0,0.0019157088122605363
threaten,1.0,0.0019157088122605363
high,1.0,0.0019157088122605363
releas,1.0,0.0019157088122605363
academ,1.0,0.0019157088122605363
record,1.0,0.0019157088122605363
obtain,1.0,0.0019157088122605363
four,1.0,0.0019157088122605363
student,1.0,0.0019157088122605363
vietnam,1.0,0.0019157088122605363
era,1.0,0.0019157088122605363
deem,1.0,0.0019157088122605363
fit,1.0,0.0019157088122605363
base,1.0,0.0019157088122605363
upon,1.0,0.0019157088122605363
examin,1.0,0.0019157088122605363
juli,1.0,0.0019157088122605363
local,1.0,0.0019157088122605363
elig,1.0,0.0019157088122605363
octob,1.0,0.0019157088122605363
condit,1.0,0.0019157088122605363
reclassifi,1.0,0.0019157088122605363
due,1.0,0.0019157088122605363
bone,1.0,0.0019157088122605363
spur,1.0,0.0019157088122605363
perman,1.0,0.0019157088122605363
disqualifi,1.0,0.0019157088122605363
proceed,1.0,0.0019157088122605363
defraud,1.0,0.0019157088122605363
assist,1.0,0.0019157088122605363
scholar,1.0,0.0019157088122605363
historian,1.0,0.0019157088122605363
rank,1.0,0.0019157088122605363
one,1.0,0.0019157088122605363
worst,1.0,0.0019157088122605363
histori,1.0,0.0019157088122605363
